,State,First Response,Full Response,Task Types,Difficulty,Date
1,Failed,6h,71d,Add new features,General,2019/9/28
2,Failed,8h,104d,Add new features,General,2020/8/9
3,Underappreciated,129h,104d,Bug,General,2022/3/17
4,Failed,72h,1d,Add new features,General,2021/5/9
5,Failed,9h,61d,Add new features,General,2022/11/27
6,Underappreciated,93h,101d,Add new features,General,2022/3/28
7,Failed,19h,6d,Add new features,General,2019/1/23
8,Failed,40h,110d,Add new features,General,2019/2/18
9,Failed,69h,106d,Code Review,Easy,2021/12/6
10,Completed,38h,57d,Add new features,General,2020/4/30
11,Failed,36h,106d,Code Review,Easy,2021/1/31
12,Completed,17h,101d,Bug,General,2019/4/15
13,Completed,17h,101d,Bug,General,2021/4/18
14,Failed,70h,7d,Bug,General,2021/3/10
15,Failed,15h,108d,Add new features,General,2020/5/16
16,Failed,58h,108d,Improvement,General,2022/7/16
17,Completed,139h,109d,Improvement,General,2020/9/30
18,Failed,19h,101d,Design,Hard,2021/5/21
19,Failed,22h,3d,Design,Hard,2020/4/10
20,Completed,29h,56d,Bug,General,2022/12/21
21,Completed,9h,11d,Design,Hard,2021/11/16
22,Completed,15h,7d,Bug,General,2022/1/5
23,Completed,11h,77d,Improvement,General,2022/1/31
24,Failed,15h,105d,Add new features,General,2019/2/12
25,Completed,142h,16d,Improvement,General,2022/10/2
26,Underappreciated,28h,52d,Documentation,Easy,2021/12/14
27,Failed,8h,107d,Improvement,General,2021/8/7
28,Failed,17h,54d,Bug,General,2019/10/15
29,Failed,5h,109d,Improvement,General,2019/10/14
30,Failed,140h,107d,Documentation,Easy,2021/11/26
31,Failed,2h,36d,Design,Hard,2019/3/5
32,Failed,1h,19d,Improvement,General,2021/2/28
33,Completed,24h,106d,Improvement,General,2019/4/13
34,Completed,127h,6d,Improvement,General,2022/12/16
35,Failed,16h,38d,Add new features,General,2020/8/6
36,Completed,2h,109d,Improvement,General,2019/3/3
37,Failed,38h,10d,Add new features,General,2021/7/14
38,Completed,19h,36d,Add new features,General,2020/5/30
39,Completed,89h,105d,Add new features,General,2020/2/21
40,Underappreciated,16h,37d,Design,Hard,2019/12/12
41,Failed,30h,35d,Add new features,General,2021/12/17
42,Failed,7h,11d,Add new features,General,2022/6/21
43,Completed,143h,108d,Design,Hard,2019/2/20
44,Completed,34h,20d,Bug,General,2019/1/26
45,Completed,3h,103d,Add new features,General,2019/9/1
46,Completed,18h,20d,Add new features,General,2021/4/21
47,Failed,3h,101d,Add new features,General,2022/11/18
48,Underappreciated,141h,107d,Add new features,General,2019/4/6
49,Failed,5h,72d,Add new features,General,2021/7/8
50,Underappreciated,7h,26d,Bug,General,2021/11/5
51,Failed,19h,110d,Add new features,General,2022/5/26
52,Failed,98h,102d,Improvement,General,2020/5/2
53,Completed,19h,106d,Improvement,General,2019/6/18
54,Completed,139h,43d,Bug,General,2019/7/7
55,Completed,131h,105d,Add new features,General,2021/8/31
56,Completed,3h,34d,Improvement,General,2021/2/12
57,Failed,12h,6d,Add new features,General,2020/8/30
58,Failed,18h,79d,Add new features,General,2021/4/5
59,Failed,18h,48d,Add new features,General,2021/4/9
60,Failed,20h,12d,Add new features,General,2022/12/29
61,Failed,10h,21d,Bug,General,2020/12/15
62,Completed,6h,1d,Add new features,General,2022/5/18
63,Underappreciated,4h,108d,Add new features,General,2021/4/21
64,Failed,59h,4d,Bug,General,2021/7/5
65,Failed,137h,3d,Add new features,General,2021/10/26
66,Failed,11h,67d,Improvement,General,2020/7/31
67,Underappreciated,45h,106d,Improvement,General,2020/4/24
68,Failed,143h,104d,Add new features,General,2020/2/21
69,Failed,68h,43d,Add new features,General,2020/2/25
70,Failed,16h,9d,Improvement,General,2020/1/18
71,Failed,8h,8d,Code Review,Easy,2019/3/18
72,Failed,137h,21d,Design,Hard,2019/7/28
73,Failed,6h,52d,Add new features,General,2020/12/18
74,Failed,10h,55d,Add new features,General,2021/8/12
75,Failed,18h,38d,Add new features,General,2022/8/6
76,Failed,89h,59d,Bug,General,2021/5/11
77,Failed,16h,107d,Improvement,General,2022/2/6
78,Failed,6h,39d,Add new features,General,2022/4/7
79,Failed,122h,6d,Add new features,General,2020/9/25
80,Failed,31h,110d,Documentation,Easy,2020/7/15
81,Completed,18h,108d,Add new features,General,2020/5/10
82,Failed,11h,102d,Add new features,General,2022/11/21
83,Completed,3h,108d,Add new features,General,2022/6/18
84,Failed,34h,103d,Bug,General,2021/2/2
85,Completed,70h,84d,Design,Hard,2020/11/2
86,Completed,29h,6d,Design,Hard,2022/1/20
87,Failed,7h,10d,Bug,General,2022/7/24
88,Failed,6h,105d,Bug,General,2022/8/7
89,Failed,8h,104d,Bug,General,2022/12/7
90,Completed,19h,103d,Add new features,General,2020/6/12
91,Completed,5h,8d,Add new features,General,2019/3/27
92,Failed,2h,56d,Documentation,Easy,2019/3/12
93,Failed,29h,45d,Design,Hard,2019/11/19
94,Completed,21h,85d,Add new features,General,2021/2/14
95,Underappreciated,42h,15d,Add new features,General,2019/11/20
96,Completed,3h,28d,Bug,General,2020/9/18
97,Underappreciated,36h,106d,Add new features,General,2021/9/20
98,Underappreciated,124h,102d,Add new features,General,2020/2/28
99,Completed,7h,10d,Design,Hard,2020/7/10
100,Underappreciated,2h,110d,Add new features,General,2019/4/4
101,Failed,142h,106d,Improvement,General,2022/3/11
102,Failed,96h,110d,Design,Hard,2021/6/10
103,Completed,21h,103d,Add new features,General,2019/10/19
104,Completed,11h,59d,Add new features,General,2020/9/22
105,Completed,27h,9d,Improvement,General,2021/2/19
106,Failed,124h,47d,Improvement,General,2020/8/6
107,Failed,50h,110d,Code Review,Easy,2021/4/28
108,Failed,6h,106d,Improvement,General,2020/4/23
109,Failed,140h,5d,Improvement,General,2021/2/13
110,Underappreciated,9h,13d,Add new features,General,2019/12/2
111,Failed,84h,106d,Design,Hard,2019/2/10
112,Failed,71h,2d,Improvement,General,2021/7/22
113,Failed,18h,78d,Bug,General,2019/1/3
114,Failed,143h,101d,Add new features,General,2021/2/27
115,Failed,123h,6d,Improvement,General,2021/4/11
116,Failed,3h,3d,Design,Hard,2022/9/19
117,Completed,131h,97d,Bug,General,2022/9/11
118,Failed,32h,103d,Improvement,General,2022/7/26
119,Failed,92h,61d,Design,Hard,2019/6/9
120,Failed,16h,107d,Add new features,General,2022/7/9
121,Failed,27h,21d,Improvement,General,2022/9/21
122,Failed,19h,106d,Add new features,General,2019/10/6
123,Completed,134h,109d,Add new features,General,2019/10/31
124,Underappreciated,3h,106d,Add new features,General,2022/1/15
125,Completed,45h,4d,Improvement,General,2019/5/4
126,Failed,12h,110d,Design,Hard,2020/7/3
127,Underappreciated,11h,15d,Improvement,General,2021/11/3
128,Completed,22h,9d,Documentation,Easy,2022/9/24
129,Failed,7h,103d,Add new features,General,2021/6/1
130,Completed,134h,30d,Bug,General,2020/11/9
131,Failed,7h,104d,Bug,General,2022/4/27
132,Failed,37h,101d,Add new features,General,2021/12/4
133,Failed,45h,107d,Add new features,General,2021/1/4
134,Underappreciated,8h,6d,Bug,General,2020/8/31
135,Failed,123h,84d,Design,Hard,2019/11/7
136,Completed,7h,4d,Documentation,Easy,2021/11/22
137,Completed,24h,57d,Documentation,Easy,2020/4/30
138,Completed,136h,104d,Improvement,General,2021/9/6
139,Failed,4h,107d,Improvement,General,2022/6/3
140,Failed,38h,1d,Improvement,General,2019/1/15
141,Completed,22h,110d,Add new features,General,2020/5/22
142,Completed,33h,103d,Bug,General,2021/7/7
143,Completed,126h,39d,Design,Hard,2019/6/28
144,Failed,40h,87d,Design,Hard,2021/8/13
145,Failed,139h,103d,Documentation,Easy,2019/9/9
146,Completed,3h,30d,Add new features,General,2021/6/25
147,Completed,127h,20d,Improvement,General,2022/1/17
148,Failed,22h,110d,Improvement,General,2020/7/12
149,Failed,13h,8d,Bug,General,2021/7/29
150,Failed,141h,102d,Bug,General,2022/3/11
151,Completed,131h,102d,Bug,General,2022/1/29
152,Failed,23h,22d,Add new features,General,2021/4/13
153,Failed,6h,108d,Add new features,General,2019/10/28
154,Failed,59h,104d,Add new features,General,2019/1/7
155,Failed,24h,108d,Add new features,General,2022/8/5
156,Underappreciated,21h,11d,Documentation,Easy,2022/4/30
157,Completed,23h,69d,Bug,General,2019/8/26
158,Failed,23h,41d,Add new features,General,2021/9/12
159,Failed,24h,110d,Add new features,General,2020/8/22
160,Completed,17h,5d,Bug,General,2022/10/18
161,Failed,22h,30d,Improvement,General,2020/2/26
162,Failed,11h,109d,Bug,General,2020/5/21
163,Failed,55h,104d,Add new features,General,2021/12/27
164,Underappreciated,12h,102d,Bug,General,2019/11/16
165,Failed,71h,2d,Bug,General,2021/2/11
166,Failed,19h,47d,Bug,General,2020/12/22
167,Completed,16h,105d,Improvement,General,2019/6/23
168,Failed,14h,109d,Bug,General,2019/3/14
169,Failed,11h,103d,Improvement,General,2022/7/18
170,Failed,66h,51d,Add new features,General,2020/11/12
171,Failed,126h,6d,Documentation,Easy,2022/1/19
172,Completed,5h,9d,Design,Hard,2021/7/17
173,Underappreciated,121h,101d,Bug,General,2020/7/28
174,Failed,47h,11d,Documentation,Easy,2021/12/26
175,Failed,132h,105d,Improvement,General,2020/11/20
176,Completed,13h,105d,Bug,General,2022/12/14
177,Failed,23h,21d,Add new features,General,2021/6/26
178,Underappreciated,19h,93d,Bug,General,2021/4/13
179,Failed,58h,103d,Improvement,General,2019/5/28
180,Completed,12h,59d,Documentation,Easy,2020/4/5
181,Failed,18h,106d,Add new features,General,2020/12/23
182,Underappreciated,106h,109d,Bug,General,2022/4/27
183,Failed,14h,14d,Bug,General,2019/4/28
184,Failed,7h,20d,Add new features,General,2020/12/28
185,Failed,12h,110d,Improvement,General,2022/7/26
186,Failed,8h,104d,Add new features,General,2021/3/12
187,Failed,1h,102d,Bug,General,2021/4/4
188,Underappreciated,39h,18d,Bug,General,2021/4/24
189,Failed,135h,20d,Add new features,General,2022/9/12
190,Underappreciated,114h,103d,Add new features,General,2021/8/8
191,Completed,4h,103d,Add new features,General,2021/12/19
192,Failed,7h,105d,Improvement,General,2020/5/17
193,Completed,11h,33d,Add new features,General,2019/11/29
194,Failed,37h,103d,Bug,General,2021/10/24
195,Failed,1h,51d,Design,Hard,2021/10/14
196,Failed,4h,108d,Documentation,Easy,2021/12/17
197,Completed,24h,101d,Add new features,General,2021/1/28
198,Completed,15h,101d,Documentation,Easy,2020/2/2
199,Failed,134h,106d,Add new features,General,2019/1/18
200,Completed,84h,1d,Add new features,General,2019/12/19
201,Completed,15h,107d,Bug,General,2019/7/21
202,Failed,10h,105d,Bug,General,2020/12/16
203,Failed,38h,105d,Design,Hard,2022/10/10
204,Failed,10h,36d,Add new features,General,2020/4/8
205,Completed,25h,1d,Improvement,General,2022/4/3
206,Failed,126h,108d,Design,Hard,2022/3/18
207,Failed,9h,102d,Add new features,General,2019/12/17
208,Completed,22h,106d,Add new features,General,2020/4/23
209,Failed,3h,108d,Improvement,General,2020/8/16
210,Failed,24h,4d,Improvement,General,2022/11/22
211,Failed,8h,105d,Add new features,General,2021/1/26
212,Failed,83h,8d,Code Review,Easy,2020/4/1
213,Failed,137h,108d,Add new features,General,2022/6/5
214,Failed,72h,106d,Bug,General,2020/10/6
215,Completed,37h,105d,Design,Hard,2021/1/22
216,Failed,136h,99d,Bug,General,2019/10/1
217,Failed,38h,10d,Bug,General,2019/1/19
218,Completed,15h,108d,Add new features,General,2022/5/2
219,Failed,4h,103d,Design,Hard,2020/12/1
220,Failed,21h,110d,Add new features,General,2019/3/2
221,Failed,7h,18d,Add new features,General,2020/5/11
222,Failed,18h,105d,Design,Hard,2021/12/27
223,Failed,6h,101d,Bug,General,2021/8/17
224,Failed,24h,101d,Add new features,General,2020/1/16
225,Completed,133h,101d,Design,Hard,2019/3/27
226,Failed,8h,103d,Design,Hard,2019/10/9
227,Failed,18h,8d,Improvement,General,2019/3/25
228,Failed,70h,110d,Documentation,Easy,2022/9/9
229,Completed,135h,6d,Add new features,General,2020/6/18
230,Failed,1h,110d,Bug,General,2022/7/17
231,Completed,23h,103d,Add new features,General,2019/6/6
232,Failed,49h,109d,Improvement,General,2022/6/16
233,Failed,138h,105d,Bug,General,2022/11/9
234,Completed,8h,35d,Bug,General,2019/2/17
235,Completed,2h,104d,Documentation,Easy,2021/10/24
236,Completed,135h,109d,Add new features,General,2021/9/13
237,Completed,16h,39d,Documentation,Easy,2019/11/8
238,Failed,11h,103d,Add new features,General,2021/6/29
239,Completed,5h,35d,Add new features,General,2022/8/29
240,Failed,19h,105d,Improvement,General,2020/1/29
241,Failed,5h,109d,Design,Hard,2022/4/17
242,Failed,5h,47d,Bug,General,2020/10/11
243,Completed,79h,109d,Add new features,General,2022/10/22
244,Failed,135h,104d,Design,Hard,2019/4/20
245,Underappreciated,53h,106d,Add new features,General,2021/5/9
246,Failed,39h,106d,Add new features,General,2020/10/20
247,Underappreciated,11h,5d,Add new features,General,2020/3/6
248,Underappreciated,14h,59d,Add new features,General,2019/5/13
249,Failed,45h,101d,Add new features,General,2019/12/3
250,Underappreciated,22h,4d,Add new features,General,2019/3/11
251,Failed,143h,5d,Documentation,Easy,2022/12/1
252,Completed,105h,16d,Add new features,General,2022/11/3
253,Completed,9h,61d,Bug,General,2022/2/9
254,Failed,41h,37d,Add new features,General,2022/6/2
255,Completed,29h,102d,Bug,General,2022/11/8
256,Underappreciated,31h,2d,Design,Hard,2021/10/30
257,Underappreciated,65h,107d,Improvement,General,2022/8/21
258,Failed,55h,103d,Add new features,General,2021/1/19
259,Completed,15h,105d,Design,Hard,2022/7/19
260,Failed,129h,7d,Bug,General,2019/3/29
261,Failed,16h,3d,Add new features,General,2020/9/13
262,Completed,76h,110d,Documentation,Easy,2020/1/21
263,Completed,5h,108d,Design,Hard,2019/8/26
264,Failed,131h,6d,Improvement,General,2020/12/3
265,Failed,40h,55d,Add new features,General,2021/4/16
266,Completed,44h,40d,Add new features,General,2019/5/6
267,Failed,8h,5d,Add new features,General,2022/10/4
268,Completed,15h,29d,Bug,General,2019/5/31
269,Completed,11h,31d,Add new features,General,2020/1/14
270,Failed,9h,16d,Add new features,General,2021/12/16
271,Underappreciated,64h,107d,Add new features,General,2019/11/18
272,Failed,16h,102d,Add new features,General,2020/10/24
273,Failed,17h,103d,Bug,General,2019/8/2
274,Underappreciated,20h,110d,Add new features,General,2019/12/5
275,Failed,92h,105d,Add new features,General,2019/3/10
276,Completed,85h,99d,Documentation,Easy,2022/1/8
277,Failed,139h,102d,Bug,General,2020/8/29
278,Completed,7h,6d,Bug,General,2022/1/1
279,Completed,129h,45d,Improvement,General,2019/6/10
280,Failed,7h,50d,Design,Hard,2021/1/17
281,Failed,27h,102d,Add new features,General,2022/9/28
282,Failed,6h,7d,Add new features,General,2021/7/13
283,Completed,8h,47d,Bug,General,2019/10/9
284,Failed,133h,8d,Documentation,Easy,2019/1/22
285,Failed,33h,23d,Bug,General,2019/11/3
286,Completed,8h,9d,Add new features,General,2021/6/7
287,Completed,24h,101d,Bug,General,2021/4/17
288,Failed,17h,3d,Bug,General,2019/8/18
289,Failed,1h,7d,Add new features,General,2020/1/7
290,Completed,131h,66d,Add new features,General,2019/2/24
291,Underappreciated,12h,21d,Add new features,General,2020/2/3
292,Failed,9h,103d,Add new features,General,2019/10/31
293,Failed,48h,25d,Improvement,General,2022/11/17
294,Completed,124h,7d,Design,Hard,2020/8/21
295,Failed,54h,110d,Add new features,General,2020/5/13
296,Underappreciated,11h,107d,Bug,General,2022/12/15
297,Failed,36h,8d,Bug,General,2022/6/19
298,Failed,18h,12d,Add new features,General,2022/12/16
299,Failed,37h,7d,Code Review,Easy,2019/5/7
300,Completed,38h,21d,Add new features,General,2022/5/2
301,Completed,4h,52d,Add new features,General,2019/4/17
302,Failed,122h,103d,Bug,General,2020/12/7
303,Underappreciated,47h,104d,Documentation,Easy,2021/2/3
304,Failed,24h,12d,Improvement,General,2020/11/25
305,Underappreciated,67h,104d,Add new features,General,2019/3/11
306,Failed,1h,105d,Add new features,General,2019/11/7
307,Failed,138h,103d,Add new features,General,2020/2/8
308,Failed,137h,108d,Improvement,General,2022/9/15
309,Failed,137h,37d,Improvement,General,2019/4/18
310,Failed,2h,106d,Add new features,General,2021/6/5
311,Completed,124h,109d,Improvement,General,2021/7/30
312,Completed,7h,103d,Improvement,General,2021/6/14
313,Failed,1h,11d,Add new features,General,2019/10/3
314,Underappreciated,12h,105d,Improvement,General,2022/9/4
315,Completed,86h,101d,Design,Hard,2020/6/18
316,Failed,45h,108d,Documentation,Easy,2021/4/12
317,Failed,89h,8d,Add new features,General,2021/3/1
318,Failed,76h,105d,Add new features,General,2019/9/24
319,Completed,21h,104d,Bug,General,2019/11/2
320,Failed,81h,32d,Improvement,General,2022/12/27
321,Underappreciated,2h,6d,Bug,General,2022/7/23
322,Failed,137h,78d,Add new features,General,2019/9/13
323,Completed,134h,43d,Improvement,General,2021/12/23
324,Completed,21h,4d,Add new features,General,2022/11/5
325,Completed,142h,65d,Design,Hard,2020/10/5
326,Underappreciated,43h,107d,Add new features,General,2020/4/15
327,Failed,81h,107d,Documentation,Easy,2019/11/29
328,Failed,123h,104d,Improvement,General,2022/12/2
329,Completed,25h,16d,Bug,General,2019/5/7
330,Failed,130h,102d,Add new features,General,2020/9/17
331,Failed,131h,23d,Bug,General,2020/12/1
332,Completed,132h,108d,Documentation,Easy,2021/7/22
333,Completed,18h,16d,Bug,General,2022/1/30
334,Completed,12h,103d,Bug,General,2022/8/7
335,Underappreciated,8h,4d,Add new features,General,2020/1/5
336,Failed,128h,33d,Add new features,General,2020/5/21
337,Completed,4h,27d,Add new features,General,2019/4/20
338,Failed,63h,29d,Add new features,General,2019/2/7
339,Failed,124h,90d,Add new features,General,2020/10/25
340,Failed,140h,35d,Bug,General,2022/2/4
341,Failed,135h,22d,Add new features,General,2019/6/15
342,Completed,65h,6d,Improvement,General,2022/5/15
343,Completed,16h,107d,Add new features,General,2019/10/8
344,Failed,55h,5d,Bug,General,2021/4/10
345,Completed,131h,61d,Bug,General,2019/8/14
346,Completed,14h,42d,Bug,General,2022/12/7
347,Failed,8h,12d,Design,Hard,2022/7/8
348,Underappreciated,143h,110d,Improvement,General,2021/2/16
349,Completed,20h,104d,Bug,General,2021/10/16
350,Failed,24h,103d,Bug,General,2019/5/9
351,Failed,6h,105d,Design,Hard,2019/7/22
352,Failed,17h,19d,Add new features,General,2019/12/14
353,Failed,23h,27d,Improvement,General,2022/8/12
354,Failed,62h,15d,Add new features,General,2019/8/9
355,Completed,7h,24d,Improvement,General,2020/8/10
356,Failed,35h,104d,Improvement,General,2021/12/21
357,Failed,22h,110d,Bug,General,2019/10/13
358,Failed,20h,30d,Bug,General,2020/9/7
359,Failed,49h,74d,Bug,General,2020/10/13
360,Failed,34h,106d,Add new features,General,2021/12/29
361,Failed,136h,4d,Improvement,General,2019/3/15
362,Completed,10h,109d,Improvement,General,2019/7/19
363,Failed,121h,3d,Bug,General,2020/12/18
364,Failed,142h,40d,Add new features,General,2022/12/10
365,Failed,70h,47d,Bug,General,2020/1/11
366,Failed,10h,101d,Improvement,General,2019/1/13
367,Failed,5h,102d,Add new features,General,2019/3/19
368,Failed,12h,106d,Improvement,General,2021/12/5
369,Failed,47h,17d,Add new features,General,2020/8/30
370,Failed,144h,6d,Add new features,General,2022/11/17
371,Failed,11h,30d,Documentation,Easy,2021/10/19
372,Failed,18h,101d,Add new features,General,2020/7/7
373,Completed,92h,2d,Add new features,General,2021/9/15
374,Failed,9h,45d,Add new features,General,2021/3/9
375,Completed,1h,102d,Bug,General,2021/12/22
376,Failed,124h,11d,Add new features,General,2019/6/30
377,Completed,135h,102d,Add new features,General,2021/12/7
378,Failed,2h,21d,Add new features,General,2022/3/21
379,Completed,8h,89d,Improvement,General,2022/7/3
380,Completed,139h,102d,Add new features,General,2019/11/7
381,Failed,10h,103d,Add new features,General,2022/3/2
382,Underappreciated,21h,105d,Add new features,General,2021/4/5
383,Underappreciated,140h,107d,Documentation,Easy,2019/3/20
384,Failed,15h,30d,Add new features,General,2021/9/1
385,Completed,20h,75d,Design,Hard,2022/8/10
386,Completed,122h,14d,Add new features,General,2022/2/16
387,Failed,21h,105d,Documentation,Easy,2021/5/17
388,Failed,133h,110d,Improvement,General,2020/12/11
389,Failed,48h,107d,Add new features,General,2020/6/29
390,Completed,9h,15d,Add new features,General,2019/2/26
391,Failed,1h,107d,Add new features,General,2019/8/25
392,Failed,20h,9d,Bug,General,2020/5/31
393,Completed,3h,23d,Improvement,General,2019/3/1
394,Failed,139h,109d,Improvement,General,2021/9/8
395,Failed,135h,1d,Add new features,General,2019/3/24
396,Completed,29h,46d,Add new features,General,2021/2/6
397,Completed,132h,4d,Add new features,General,2021/5/27
398,Completed,9h,41d,Documentation,Easy,2021/7/11
399,Underappreciated,2h,110d,Improvement,General,2022/9/19
400,Underappreciated,121h,103d,Improvement,General,2021/3/15
401,Failed,10h,89d,Bug,General,2020/8/13
402,Failed,16h,11d,Add new features,General,2019/7/13
403,Failed,9h,3d,Improvement,General,2020/12/10
404,Completed,111h,55d,Improvement,General,2019/4/26
405,Failed,44h,19d,Add new features,General,2019/6/7
406,Completed,12h,110d,Add new features,General,2021/10/28
407,Completed,21h,28d,Improvement,General,2019/11/14
408,Failed,130h,54d,Bug,General,2022/9/8
409,Completed,103h,107d,Improvement,General,2022/2/14
410,Failed,1h,102d,Add new features,General,2019/5/19
411,Failed,69h,106d,Bug,General,2021/6/18
412,Underappreciated,6h,9d,Add new features,General,2020/7/3
413,Failed,19h,110d,Bug,General,2021/11/17
414,Failed,24h,107d,Improvement,General,2020/8/27
415,Failed,76h,1d,Add new features,General,2019/9/9
416,Failed,48h,22d,Add new features,General,2019/10/20
417,Completed,22h,19d,Add new features,General,2021/10/20
418,Completed,27h,63d,Add new features,General,2021/8/14
419,Completed,38h,109d,Improvement,General,2020/8/30
420,Completed,129h,105d,Add new features,General,2019/1/28
421,Completed,18h,45d,Bug,General,2019/2/11
422,Failed,61h,7d,Add new features,General,2019/3/19
423,Completed,21h,109d,Add new features,General,2019/3/13
424,Underappreciated,47h,51d,Add new features,General,2021/9/6
425,Underappreciated,18h,108d,Add new features,General,2022/1/25
426,Failed,75h,1d,Documentation,Easy,2019/1/13
427,Failed,11h,3d,Add new features,General,2022/1/30
428,Completed,107h,2d,Design,Hard,2019/2/22
429,Completed,18h,110d,Documentation,Easy,2021/2/5
430,Failed,137h,1d,Improvement,General,2022/12/4
431,Underappreciated,79h,9d,Add new features,General,2022/8/1
432,Failed,46h,1d,Add new features,General,2020/7/3
433,Failed,5h,14d,Add new features,General,2020/3/15
434,Completed,31h,107d,Design,Hard,2020/9/23
435,Underappreciated,140h,47d,Add new features,General,2020/9/19
436,Completed,133h,2d,Bug,General,2021/9/8
437,Failed,128h,77d,Add new features,General,2019/7/8
438,Completed,4h,27d,Documentation,Easy,2019/8/1
439,Failed,144h,109d,Bug,General,2021/5/30
440,Failed,12h,110d,Design,Hard,2021/12/24
441,Completed,56h,1d,Bug,General,2022/12/19
442,Failed,87h,50d,Improvement,General,2021/5/2
443,Completed,9h,33d,Bug,General,2022/11/2
444,Failed,100h,106d,Documentation,Easy,2019/5/21
445,Failed,12h,108d,Bug,General,2019/8/31
446,Failed,7h,29d,Bug,General,2020/2/13
447,Completed,10h,29d,Add new features,General,2021/11/24
448,Completed,2h,105d,Bug,General,2022/3/26
449,Failed,98h,9d,Design,Hard,2019/12/17
450,Completed,19h,11d,Add new features,General,2022/8/24
451,Underappreciated,44h,17d,Bug,General,2022/5/21
452,Completed,17h,105d,Improvement,General,2021/3/22
453,Failed,24h,2d,Design,Hard,2021/5/11
454,Failed,142h,103d,Add new features,General,2020/3/29
455,Completed,24h,107d,Add new features,General,2020/12/22
456,Completed,38h,17d,Design,Hard,2021/3/4
457,Underappreciated,126h,108d,Bug,General,2022/12/31
458,Failed,5h,63d,Design,Hard,2022/2/17
459,Failed,141h,17d,Add new features,General,2022/6/28
460,Failed,136h,8d,Add new features,General,2022/9/29
461,Failed,144h,104d,Improvement,General,2020/2/26
462,Failed,12h,106d,Improvement,General,2019/4/2
463,Completed,124h,102d,Add new features,General,2022/10/13
464,Completed,82h,102d,Design,Hard,2022/10/20
465,Failed,5h,43d,Add new features,General,2019/1/26
466,Completed,15h,6d,Documentation,Easy,2019/6/26
467,Completed,121h,99d,Documentation,Easy,2019/6/1
468,Failed,33h,101d,Design,Hard,2021/2/9
469,Failed,31h,9d,Bug,General,2022/11/26
470,Failed,11h,5d,Add new features,General,2019/4/1
471,Failed,47h,102d,Add new features,General,2019/12/12
472,Failed,1h,108d,Documentation,Easy,2022/6/28
473,Underappreciated,141h,49d,Add new features,General,2022/4/17
474,Failed,44h,50d,Code Review,Easy,2019/5/23
475,Failed,65h,106d,Add new features,General,2020/3/6
476,Completed,39h,8d,Add new features,General,2020/1/6
477,Failed,142h,40d,Bug,General,2022/9/10
478,Failed,126h,7d,Code Review,Easy,2020/3/28
479,Completed,22h,101d,Add new features,General,2019/1/15
480,Completed,18h,101d,Add new features,General,2021/10/6
481,Completed,4h,101d,Add new features,General,2022/11/25
482,Completed,7h,68d,Design,Hard,2021/2/19
