ID,age,gender,occupation,job_role,country,programming_language,contribution_or_not,used_or_not,rate_BlockSOP,interest_BlockSOP,workon_BlockSOP,difficulty_BlockSOP,enhance_motivation,reduce_leakage,stable_income_BlockSOP,inc_Trust_BlockSOP,Openness,Trust,Fairness,Transparency,Security
ID_0001,35-44,Male,Academic or industrial researcher,Development,China (CHN),Python,TRUE,FALSE,Average,Interested,Unlikely,Average,Strongly Agree,Agree,Neutral,Disagree,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0002,25-34,Male,Industrial or freelance professional,Development,China (CHN),Python,TRUE,FALSE,Good,Interested,Possibly,Average,Agree,Agree,Strongly Agree,Agree,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied
ID_0003,18-24,Female,Industrial or freelance professional,Development,China (CHN),C/C++,TRUE,TRUE,Extremely Good,Interested,Definitely,Average,Disagree,Disagree,Agree,Disagree,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Dissatisfied
ID_0004,35-44,Male,Industrial or freelance professional,Development,China (CHN),Python,TRUE,TRUE,Extremely Good,Extremely interested,Possibly,Average,Disagree,Neutral,Agree,Agree,Satisfied,Very Satisfied,Very Satisfied,Dissatisfied,Very Satisfied
ID_0005,25-34,Male,Industrial or freelance professional,Testing,China (CHN),Go,TRUE,TRUE,Good,Extremely interested,Definitely,Average,Strongly Agree,Agree,Agree,Neutral,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0006,25-34,Male,Industrial or freelance professional,Development,China (CHN),Java,TRUE,TRUE,Good,Extremely interested,Definitely,Very Difficult,Agree,Neutral,Agree,Disagree,Satisfied,Very Satisfied,Very Satisfied,Neutral,Very Satisfied
ID_0007,25-34,Male,Academic or industrial researcher,Development,China (CHN),Go,TRUE,TRUE,Good,Extremely interested,Definitely,Difficult,Agree,Strongly Agree,Agree,Agree,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0008,35-44,Male,Industrial or freelance professional,Development,United States (USA),Python,TRUE,FALSE,Extremely Good,Extremely interested,Definitely,Very Easy,Neutral,Strongly Agree,Disagree,Strongly Agree,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Dissatisfied
ID_0009,25-34,Male,Industrial or freelance professional,Testing,China (CHN),Python,TRUE,TRUE,Extremely Good,Interested,Definitely,Average,Agree,Agree,Agree,Agree,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0010,25-34,Male,Industrial or freelance professional,Development,Germany (DEU),C/C++,TRUE,TRUE,Good,Not interested,Definitely,Average,Agree,Agree,Strongly Agree,Strongly Agree,Satisfied,Neutral,Satisfied,Very Satisfied,Very Satisfied
ID_0011,25-34,Male,Academic or industrial researcher,Development,China (CHN),Python,TRUE,FALSE,Good,Extremely interested,Definitely,Difficult,Strongly Agree,Agree,Agree,Disagree,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied
ID_0012,35-44,Prefer not to say,Industrial or freelance professional,Development,United States (USA),PHP,TRUE,TRUE,Extremely Good,Average,Possibly,Average,Agree,Agree,Agree,Disagree,Satisfied,Dissatisfied,Very Satisfied,Very Satisfied,Satisfied
ID_0013,25-34,Prefer not to say,Academic or industrial researcher,Development,China (CHN),Java,TRUE,TRUE,Extremely Good,Average,Possibly,Average,Strongly Agree,Agree,Strongly Agree,Agree,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied
ID_0014,35-44,Male,Industrial or freelance professional,Development,China (CHN),C/C++,TRUE,TRUE,Good,Extremely interested,Definitely,Average,Strongly Agree,Disagree,Agree,Strongly Agree,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied
ID_0015,25-34,Female,Industrial or freelance professional,Testing,Russia (RUS),Python,FALSE,TRUE,Extremely Good,Average,Definitely,Average,Agree,Agree,Neutral,Agree,Neutral,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0016,25-34,Female,Industrial or freelance professional,Development,United States (USA),Go,TRUE,TRUE,Good,Extremely interested,Definitely,Difficult,Agree,Agree,Agree,Strongly Agree,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0017,25-34,Male,Others,Development,China (CHN),C/C++,TRUE,TRUE,Average,Interested,Definitely,Average,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0018,Under 18,Male,Academic or industrial researcher,Testing,China (CHN),Java,FALSE,TRUE,Extremely Good,Not interested,Definitely,Average,Agree,Agree,Strongly Disagree,Neutral,Neutral,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0019,35-44,Male,Industrial or freelance professional,Development,China (CHN),Java,FALSE,TRUE,Extremely Good,Extremely interested,Definitely,Difficult,Agree,Strongly Agree,Agree,Strongly Agree,Very Satisfied,Very Satisfied,Very Satisfied,Neutral,Neutral
ID_0020,25-34,Male,Industrial or freelance professional,Development,China (CHN),C/C++,TRUE,TRUE,Extremely Good,Extremely interested,Definitely,Difficult,Disagree,Agree,Strongly Agree,Strongly Agree,Satisfied,Neutral,Very Satisfied,Very Satisfied,Very Satisfied
ID_0021,Under 18,Male,Industrial or freelance professional,Testing,China (CHN),Python,TRUE,TRUE,Extremely Good,Extremely interested,Unlikely,Average,Disagree,Strongly Agree,Agree,Strongly Agree,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0022,25-34,Male,Industrial or freelance professional,Development,United States (USA),PHP,FALSE,TRUE,Extremely Good,Extremely interested,Possibly,Average,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied
ID_0023,25-34,Male,Industrial or freelance professional,Testing,United States (USA),Java,TRUE,TRUE,Good,Extremely interested,Unlikely,Difficult,Strongly Agree,Agree,Agree,Agree,Satisfied,Very Satisfied,Neutral,Very Satisfied,Satisfied
ID_0024,Under 18,Male,Industrial or freelance professional,Development,China (CHN),JavaScript,TRUE,FALSE,Extremely Good,Average,Definitely,Average,Strongly Agree,Strongly Agree,Agree,Agree,Satisfied,Very Satisfied,Very Dissatisfied,Very Satisfied,Satisfied
ID_0025,25-34,Male,Industrial or freelance professional,Development,China (CHN),Java,TRUE,TRUE,Good,Interested,Definitely,Average,Agree,Agree,Agree,Strongly Agree,Neutral,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0026,25-34,Male,Industrial or freelance professional,Development,China (CHN),Java,TRUE,TRUE,Extremely Good,Not interested,Possibly,Average,Agree,Strongly Agree,Strongly Agree,Agree,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0027,25-34,Female,Academic or industrial researcher,Development,China (CHN),Python,FALSE,FALSE,Good,Extremely interested,Definitely,Average,Agree,Agree,Strongly Disagree,Strongly Agree,Very Satisfied,Neutral,Very Satisfied,Very Satisfied,Satisfied
ID_0028,35-44,Female,Industrial or freelance professional,Development,China (CHN),Python,FALSE,FALSE,Extremely Good,Extremely interested,Definitely,Average,Strongly Agree,Agree,Disagree,Agree,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied
ID_0029,25-34,Female,Industrial or freelance professional,Development,China (CHN),Go,TRUE,TRUE,Good,Extremely interested,Definitely,Average,Strongly Agree,Strongly Agree,Disagree,Disagree,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied
ID_0030,25-34,Male,Industrial or freelance professional,Development,China (CHN),Python,TRUE,TRUE,Good,Extremely interested,Possibly,Average,Neutral,Disagree,Strongly Agree,Strongly Disagree,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0031,25-34,Male,Academic or industrial researcher,Development,China (CHN),Python,TRUE,TRUE,Good,Interested,Definitely,Very Easy,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Very Satisfied,Satisfied,Very Satisfied,Satisfied,Neutral
ID_0032,25-34,Female,Academic or industrial researcher,Development,Russia (RUS),C/C++,TRUE,FALSE,Good,Interested,Possibly,Average,Agree,Agree,Strongly Agree,Neutral,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0033,25-34,Male,Industrial or freelance professional,Development,Germany (DEU),Java,TRUE,TRUE,Good,Interested,Definitely,Average,Disagree,Agree,Agree,Agree,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0034,25-34,Male,Industrial or freelance professional,Development,China (CHN),C/C++,TRUE,FALSE,Extremely Good,Not interested,Definitely,Difficult,Strongly Agree,Neutral,Agree,Agree,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0035,35-44,Male,Academic or industrial researcher,Development,China (CHN),Python,TRUE,FALSE,Good,Interested,Definitely,Difficult,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0036,25-34,Male,Academic or industrial researcher,Testing,United States (USA),Python,TRUE,TRUE,Good,Interested,Definitely,Very Difficult,Agree,Strongly Agree,Agree,Strongly Disagree,Satisfied,Very Satisfied,Neutral,Very Satisfied,Very Dissatisfied
ID_0037,25-34,Male,Industrial or freelance professional,Development,Russia (RUS),Java,TRUE,TRUE,Extremely Good,Extremely interested,Definitely,Difficult,Strongly Agree,Neutral,Agree,Agree,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied
ID_0038,18-24,Male,Industrial or freelance professional,Development,China (CHN),Python,TRUE,TRUE,Good,Extremely interested,Definitely,Easy,Agree,Agree,Agree,Strongly Agree,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Neutral
ID_0039,25-34,Male,Academic or industrial researcher,Development,United States (USA),Java,TRUE,TRUE,Extremely Good,Interested,Definitely,Very Easy,Agree,Agree,Agree,Neutral,Satisfied,Neutral,Very Satisfied,Very Satisfied,Very Satisfied
ID_0040,25-34,Female,Industrial or freelance professional,Development,China (CHN),Python,TRUE,TRUE,Good,Interested,Definitely,Average,Agree,Agree,Strongly Disagree,Strongly Agree,Satisfied,Satisfied,Very Satisfied,Dissatisfied,Neutral
ID_0041,45 or older,Male,Undergraduate/graduate student,Development,China (CHN),C/C++,FALSE,TRUE,Extremely Good,Extremely interested,Definitely,Average,Strongly Disagree,Strongly Agree,Agree,Disagree,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied
ID_0042,25-34,Male,Industrial or freelance professional,Development,China (CHN),C/C++,TRUE,TRUE,Good,Interested,Unlikely,Average,Agree,Neutral,Agree,Strongly Agree,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Satisfied
ID_0043,18-24,Male,Academic or industrial researcher,Development,China (CHN),Python,TRUE,TRUE,Extremely Good,Interested,Possibly,Average,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0044,25-34,Female,Industrial or freelance professional,Development,Canada (CAN),Python,TRUE,FALSE,Extremely Good,Extremely interested,Definitely,Average,Agree,Agree,Agree,Strongly Agree,Satisfied,Very Satisfied,Neutral,Neutral,Very Satisfied
ID_0045,25-34,Male,Industrial or freelance professional,Development,China (CHN),C/C++,TRUE,TRUE,Extremely Good,Extremely interested,Definitely,Average,Agree,Agree,Agree,Strongly Agree,Satisfied,Very Satisfied,Very Satisfied,Very Dissatisfied,Very Satisfied
ID_0046,45 or older,Male,Industrial or freelance professional,Development,China (CHN),Python,TRUE,TRUE,Good,Interested,Definitely,Very Easy,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied
ID_0047,35-44,Female,Industrial or freelance professional,Development,Russia (RUS),C/C++,TRUE,TRUE,Extremely Good,Interested,Definitely,Difficult,Agree,Strongly Agree,Strongly Agree,Agree,Satisfied,Very Satisfied,Dissatisfied,Very Satisfied,Neutral
ID_0048,25-34,Male,Industrial or freelance professional,Development,China (CHN),Python,TRUE,TRUE,Extremely Good,Not interested,Possibly,Average,Strongly Agree,Agree,Agree,Strongly Agree,Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied
ID_0049,25-34,Female,Industrial or freelance professional,Development,China (CHN),PHP,TRUE,TRUE,Good,Interested,Definitely,Difficult,Strongly Agree,Agree,Strongly Agree,Agree,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied
ID_0050,25-34,Female,Industrial or freelance professional,Development,China (CHN),Go,TRUE,TRUE,Good,Extremely interested,Definitely,Easy,Agree,Strongly Agree,Disagree,Disagree,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0051,35-44,Female,Academic or industrial researcher,Development,China (CHN),C/C++,TRUE,TRUE,Good,Interested,FALSE,Average,Agree,Agree,Agree,Strongly Agree,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0052,18-24,Male,Industrial or freelance professional,Development,China (CHN),Python,FALSE,TRUE,Average,Extremely interested,Definitely,Difficult,Agree,Strongly Disagree,Strongly Agree,Disagree,Neutral,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied
ID_0053,25-34,Female,Industrial or freelance professional,Development,China (CHN),Python,TRUE,TRUE,Extremely Good,Extremely interested,Definitely,Easy,Strongly Agree,Agree,Strongly Agree,Agree,Very Satisfied,Very Satisfied,Very Satisfied,Dissatisfied,Very Satisfied
ID_0054,35-44,Male,Others,Development,China (CHN),Java,TRUE,TRUE,Extremely Good,Not interested,Unlikely,Average,Agree,Neutral,Agree,Neutral,Dissatisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied
ID_0055,25-34,Male,Academic or industrial researcher,Development,China (CHN),Java,TRUE,TRUE,Good,Not interested,Possibly,Easy,Strongly Agree,Agree,Neutral,Neutral,Satisfied,Very Satisfied,Dissatisfied,Very Satisfied,Very Satisfied
ID_0056,18-24,Female,Academic or industrial researcher,Development,China (CHN),Java,TRUE,FALSE,Extremely Good,Interested,Possibly,Difficult,Disagree,Strongly Agree,Agree,Agree,Satisfied,Very Satisfied,Very Satisfied,Neutral,Very Satisfied
ID_0057,25-34,Male,Industrial or freelance professional,Development,China (CHN),Python,TRUE,TRUE,Good,Not interested,Definitely,Average,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Satisfied,Neutral,Very Satisfied,Very Satisfied,Very Satisfied
ID_0058,25-34,Female,Industrial or freelance professional,Development,China (CHN),C/C++,TRUE,FALSE,Average,Extremely uninterested,Possibly,Average,Agree,Disagree,Agree,Agree,Satisfied,Neutral,Very Satisfied,Very Satisfied,Neutral
ID_0059,18-24,Female,Industrial or freelance professional,Others,China (CHN),Java,TRUE,TRUE,Good,Interested,Possibly,Easy,Disagree,Strongly Agree,Disagree,Strongly Agree,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0060,25-34,Male,Industrial or freelance professional,Testing,Canada (CAN),Python,TRUE,TRUE,Good,Extremely interested,Unlikely,Average,Agree,Agree,Agree,Neutral,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied
ID_0061,25-34,Male,Academic or industrial researcher,Development,China (CHN),C/C++,TRUE,TRUE,Good,Extremely interested,FALSE,Average,Agree,Neutral,Agree,Strongly Agree,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0062,25-34,Male,Industrial or freelance professional,Development,Russia (RUS),Python,TRUE,TRUE,Good,Average,Possibly,Average,Agree,Disagree,Agree,Strongly Disagree,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0063,35-44,Male,Industrial or freelance professional,Development,Canada (CAN),Python,TRUE,FALSE,Extremely Good,Not interested,Possibly,Difficult,Agree,Agree,Strongly Agree,Strongly Agree,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied
